Name,epoch/val_categorical_accuracy (Max),unique_classes,Notes,Runtime,T_max,epochs,features,max_lr,min_lr,scheduler,train_size,val_size,video_length,epoch/categorical_accuracy (Max),epoch/epoch,epoch/learning_rate (Min),epoch/loss (Min),epoch/val_loss (Min),epoch/f1_micro_tf,epoch/mcc_metric_tf,epoch/val_f1_micro_tf,epoch/val_mcc_metric_tf
AK-LSTM64-LR-Dense256-fs=15-cls=3,0.9200000166893004,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f28e14d1890>",227,101,200,all,0.0001,0.00005,cosineAnnealer,850,150,15,0.9505882263183594,199,2.50181E-05,0.1854189336299896,0.24225451052188873,,,,
LSTM128-DENSE128-DENSE256-allfeatures,0.9200000166893004,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f704eaecd10>",5076,50,100,all,0.0001,0.00005,cosineAnnealer,900,100,60,0.9477777481079102,99,5.00493E-05,0.2322845607995987,0.3136119842529297,,,,
AK-BGRU256-LR-Dense256-gelu-cls=3,0.9200000166893004,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f1f49e337d0>",282,101,200,all,0.0001,0.00005,cosineAnnealer,850,150,15,0.9882352948188782,199,2.50181E-05,0.13302405178546906,0.3392062783241272,,,,
AK-BLSTM32-LR-Dense256-gelu-cls=3,0.9200000166893004,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f1f48263e50>",489,101,200,all,0.0001,0.00005,cosineAnnealer,850,150,15,0.9670588374137878,199,2.50181E-05,0.1586962193250656,0.2976236939430237,,,,
AK-BLSTM256-LR-Dense256-gelu-cls=3,0.9200000166893004,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f1fbeeecad0>",388,101,200,all,0.0001,0.00005,cosineAnnealer,850,150,15,0.9835293889045716,199,2.50181E-05,0.14302454888820648,0.3553354740142822,,,,
LSTM128-Dense256-allfeatures,0.9200000166893004,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fdb4c07b8d0>",5094,50,100,all,0.0001,0.00005,cosineAnnealer,900,100,60,0.9322222471237184,99,1E-04,0.25816279649734497,0.31127607822418213,,,,
LSTM64-Dense128-allfeatures,0.9200000166893004,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fda518a6390>",5391,75,100,all,0.0001,0.00005,cosineAnnealer,900,100,60,0.9233333468437196,99,2.50329E-05,0.28188201785087585,0.2896500527858734,,,,
AK-LSTM256-LR-Dense128-gelu,0.9133333563804626,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f4494741790>",122,50,100,all,0.0001,0.00005,cosineAnnealer,850,150,20,0.9647058844566344,99,5.00493E-05,0.16464170813560486,0.38925647735595703,,,,
AK-GRU32-LR-Dense256-gelu,0.9133333563804626,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f459c950390>",122,50,100,all,0.0001,0.00005,cosineAnnealer,850,150,20,0.907058835,99,5.00493E-05,0.2920330762863159,0.28627490997314453,,,,
Bigger Reg: LSTM64-Dense128-Dense256-allfeatures,0.9100000262260436,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fdb180a9010>",5336,50,100,all,0.0001,0.00005,cosineAnnealer,900,100,60,0.8922222256660461,99,1E-04,0.4062555730342865,0.36881962418556213,,,,
LSTM64-Dense257-allfeatures,0.9100000262260436,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fd9e82e3790>",5329,75,100,all,0.0001,0.00005,cosineAnnealer,900,100,60,0.9322222471237184,99,2.50329E-05,0.25224000215530396,0.36766526103019714,,,,
LSTM256-Dense128-Dense256-allfeatures,0.9100000262260436,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fdbbc223250>",5280,50,100,all,0.0001,0.00005,cosineAnnealer,900,100,60,0.9399999976158142,99,1E-04,0.23381753265857697,0.3440536856651306,,,,
LSTM128-Dense128-Dense256-allfeatures,0.9100000262260436,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fe2a47cff50>",4924,50,100,all,0.0001,0.00005,cosineAnnealer,900,100,60,0.9244444370269777,99,1E-04,0.2707708477973938,0.3354341387748718,,,,
AK-LSTM256-LR-Dense128-gelu-fs=15-cls=3,0.9066666960716248,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f26d0611290>",217,101,200,all,0.0001,0.00005,cosineAnnealer,850,150,15,0.9835293889045716,199,2.50181E-05,0.12990830838680267,0.3138728439807892,,,,
LSTM128-Dense128-allfeatures,0.8999999761581421,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fdaec2da250>",5070,50,100,all,0.0001,0.00005,cosineAnnealer,900,100,60,0.9444444179534912,99,1E-04,0.22889015078544617,0.34938037395477295,,,,
AK-LSTM128-LR-Dense128-Dense256,0.8999999761581421,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f4593e58d50>",128,50,100,all,0.0001,0.00005,cosineAnnealer,850,150,20,0.9376470446586608,99,5.00493E-05,0.2193922996520996,0.3169201910495758,,,,
LSTM64-Dense64-allfeatures,0.8999999761581421,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fda501c1d50>",5349,75,100,all,0.0001,0.00005,cosineAnnealer,900,100,60,0.9277777671813964,99,2.50329E-05,0.27271008491516113,0.33463799953460693,,,,
AK-LSTM16-LR-Dense256-fs=15-cls=3,0.8866666555404663,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fea68764350>",211,50,100,all,0.0001,0.00005,cosineAnnealer,850,150,15,0.8988234996795654,99,5.00493E-05,0.3075414001941681,0.3888037502765655,,,,
LSTM64-Dense64-LipsEyesHandsPose_NF,0.8799999952316284,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f822421d150>",2501,75,100,all,0.0001,0.00005,cosineAnnealer,900,100,60,0.8766666650772095,99,2.50329E-05,0.3925073146820069,0.4085747003555298,,,,
AK-Transformer-e=64-h=2-ff=128-D=0.1-Dense=128,0.8774999976158142,5,"Model summary : 
None",352,101,200,reduced-LipsEyesHandsPose-scaled,0.0001,0.00005,cosineAnnealer,1600,400,36,0.9837499856948853,199,2.50181E-05,0.050388868898153305,0.432859331,,,,
AK-Transformer-e=32-h=2-ff=64-D=0.1-Dense=128,0.875,5,"Model summary : 
None",325,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.971875012,199,2.50181E-05,0.083490886,0.35282599925994873,,,,
AK-Transformer-e=64-h=2-ff=64-D=0.1-Dense=128,0.875,5,"Model summary : 
None",324,101,200,reduced-LipsEyesHandsPose-scaled,0.0001,0.00005,cosineAnnealer,1600,400,36,0.975000024,199,2.50181E-05,0.084739521,0.3811911344528198,,,,
Transformer-e=64-h=2-ff=128-D=0.1-Dense=128-LipsEyesHandsPose_5k,0.8700000047683716,5,"Model summary : 
",295,101,200,reduced-LipsEyesHandsPose-scaled,0.0001,0.00005,cosineAnnealer,1600,400,36,0.9818750023841858,199,2.50181E-05,0.061705384,0.4214636981487274,,,,
LSTM128-Dense128-Dense256-LipsEyesHandsPose,0.8700000047683716,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f83382d0c50>",2440,50,100,all,0.0001,0.00005,cosineAnnealer,900,100,60,0.904444456,99,5.00493E-05,0.317468524,0.42409321665763855,,,,
LSTM64-Dense128-Dense256-LipsEyesHandsPose,0.8700000047683716,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f8d6fa07a90>",2439,50,100,all,0.0001,0.00005,cosineAnnealer,900,100,60,0.9077777862548828,99,5.00493E-05,0.31046590209007263,0.4206514656543732,,,,
LSTM128-Dense256-LipsEyesHandsPose,0.8700000047683716,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f830c59cf10>",2440,50,100,all,0.0001,0.00005,cosineAnnealer,900,100,60,0.8855555653572083,99,5.00493E-05,0.35966721177101135,0.4392354488372803,,,,
LSTM128-Dense128-Dense256-LipsEyesHandsPose,0.8700000047683716,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f7ff556ea10>",2429,50,100,LipsEyesHandsPose,0.0001,0.00005,cosineAnnealer,900,100,60,0.898888886,99,5.00493E-05,0.33720096945762634,0.41541028022766113,,,,
AK-GRU512-LR-Dense256-gelu-fs=36-cls=5,0.862500012,5,"Model summary : 
",233,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.9837499856948853,199,2.50181E-05,0.1283319592475891,0.5732179284095764,0.9806249737739564,0.9756444692611694,0.8274999856948853,0.7818778157234192
LSTM256-Dense128-Dense256-LipsEyesHandsPose_NF=396,0.8600000143051147,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f899c7f6290>",2468,50,100,all,0.0001,0.00005,cosineAnnealer,900,100,60,0.8666666746139526,99,5.00493E-05,0.4095132052898407,0.397889256,,,,
AK-GRU512-LR-Dense256-gelu-fs=36-cls=5,0.8600000143051147,5,"Model summary : 
",170,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.9850000143051147,199,2.50181E-05,0.12069735676050186,0.5441956520080566,,,,
LSTM128-Dense256-LipsEyesHandsPose,0.8600000143051147,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f8befd6c750>",2452,50,100,all,0.0001,0.00005,cosineAnnealer,900,100,60,0.9122222065925598,99,5.00493E-05,0.29452604055404663,0.4749204218387604,,,,
LSTM64-Dense128-LipsEyesHandsPose,0.8600000143051147,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f8241d02a90>",2491,75,100,all,0.0001,0.00005,cosineAnnealer,900,100,60,0.8766666650772095,99,2.50329E-05,0.3877293169498443,0.4808715581893921,,,,
LSTM128_l2-Dense128-Dense256-LipsEyesHandsPose,0.8600000143051147,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f830eb5ead0>",2403,50,100,all,0.0001,0.00005,cosineAnnealer,900,100,60,0.8877778053283691,99,5.00493E-05,0.341763437,0.42043304443359375,,,,
AK-GRU512-LR-Dense256-gelu-fs=36-cls=5,0.8575000166893005,5,"Model summary : 
None",233,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.981249988,199,2.50181E-05,0.13715024292469025,0.5865232348442078,,,,
AK-Transformer-e=32-h=4-ff=96-D=0.1-Dense=128,0.8450000286102295,5,"Model summary : 
None",467,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.9818750023841858,199,2.50181E-05,0.061623204,0.5412603616714478,,,,
AK-BGRU16-LR-Dense256-gelu-fs=36-cls=5,0.8450000286102295,5,"Model summary : 
",538,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.9806249737739564,199,2.50181E-05,0.12659728527069092,0.5667737722396851,,,,
AK-GRU128-LR-Dense256-gelu-cls=5,0.8433333039283752,5,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fb05cc7d6d0>",402,101,200,all,0.0001,0.00005,cosineAnnealer,1700,300,36,0.9164705872535706,199,2.50181E-05,0.3022406995296478,0.4676682949066162,,,,
AK-GRU256-LR-Dense256-gelu-cls=3,0.8433333039283752,5,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fb0642af690>",401,101,200,all,0.0001,0.00005,cosineAnnealer,1700,300,36,0.9476470351219176,199,2.50181E-05,0.21725858747959137,0.5053567290306091,,,,
AK-BGRU16-LR-Dense256-gelu-fs=36-cls=5,0.8424999713897705,5,"Model summary : 
",262,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.9762499928474426,199,2.50181E-05,0.13499851524829865,0.5374845266342163,,,,
AK-GRU256-LR-Dense256-gelu-fs=15-cls=5,0.8424999713897705,5,"Model summary : 
",195,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,15,0.9193750023841858,199,2.50181E-05,0.2955373525619507,0.5265918970108032,0.9168750047683716,0.8960780501365662,0.8349999785423279,0.7929986715316772
LSTM64-Dense256-LipsEyesHandsPose,0.8399999737739563,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f8241ed0bd0>",2462,75,100,all,0.0001,0.00005,cosineAnnealer,900,100,60,0.8844444155693054,99,2.50329E-05,0.36402997374534607,0.5001747012138367,,,,
AK-LSTM64-LR-Dense256-fs=36-cls=5,0.8399999737739563,5,"Model summary : 
None",260,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.9100000262260436,199,2.50181E-05,0.30280858278274536,0.5370396375656128,,,,
AK-GRU256-LR-Dense256-gelu-fs=36-cls=5,0.8374999761581421,5,"Model summary : 
",247,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.9493749737739564,199,2.50181E-05,0.2040603756904602,0.5367963314056396,0.9493749737739564,0.937164545,0.8174999952316284,0.775216818
AK-GRU512-LR-Dense256-gelu-fs=60-cls=5,0.8374999761581421,5,"Model summary : 
",347,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,60,0.9868749976158142,199,2.50181E-05,0.098643817,0.5845263004302979,0.9868749976158142,0.9833682775497437,0.8149999976158142,0.7661511898040771
AK-BGRU16-LR-Dense256-gelu-fs=15-cls=5,0.8349999785423279,5,"Model summary : 
",284,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,15,0.8999999761581421,199,2.50181E-05,0.3233197331428528,0.5315287113189697,0.8999999761581421,0.875355065,0.8075000047683716,0.7633851766586304
AK-BGRU32-LR-Dense256-gelu-fs=15-cls=5,0.8349999785423279,5,"Model summary : 
",267,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,15,0.9300000071525574,199,2.50181E-05,0.27283453941345215,0.541628361,0.9300000071525574,0.9124166369438172,0.8199999928474426,0.7768680453300476
AK-GRU256-LR-Dense256-gelu-fs=36-cls=5,0.8349999785423279,5,"Model summary : 
None",232,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.9518749713897704,199,2.50181E-05,0.21211311221122744,0.5200136303901672,,,,
AK-GRU128-LR-Dense256-gelu-fs=15-cls=5,0.8349999785423279,5,"Model summary : 
",201,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,15,0.8831250071525574,199,2.50181E-05,0.35525253415107727,0.5119470357894897,0.8743749856948853,0.8448237776756287,0.8224999904632568,0.7775465250015259
AK-LSTM128-LR-Dense256-fs=36-cls=5,0.8333333134651184,5,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fb8143d5e10>",407,101,200,all,0.0001,0.00005,cosineAnnealer,1700,300,36,0.942941189,199,2.50181E-05,0.23143769800662992,0.5813605785369873,,,,
AK-LSTM32-LR-Dense256-fs=36-cls=5,0.8333333134651184,5,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fb902e70590>",483,101,200,all,0.0001,0.00005,cosineAnnealer,1700,300,36,0.8817647099494934,199,2.50181E-05,0.3712129,0.46400877833366394,,,,
AK-BGRU16-LR-Dense256-gelu-fs=36-cls=5,0.8324999809265137,5,"Model summary : 
",324,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.975000024,199,2.50181E-05,0.15026038885116577,0.5448770523071289,0.9693750143051147,0.9617751240730286,0.8224999904632568,0.7822210788726807
AK-LSTM128-LR-Dense256-fs=36-cls=5,0.8324999809265137,5,"Model summary : 
",242,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.9381250143051147,199,2.50181E-05,0.23573696613311768,0.5638495087623596,0.9350000023841858,0.9193493723869324,0.8324999809265137,0.7925717234611511
AK-GRU128-LR-Dense256-gelu-fs=36-cls=5,0.8274999856948853,5,"Model summary : 
None",279,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.8999999761581421,199,2.50181E-05,0.3152894973754883,0.5083458423614502,,,,
AK-BLSTM16-LR-Dense256-gelu-cls=3,0.8274999856948853,5,"Model summary : 
None",487,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.96875,199,2.50181E-05,0.1519138365983963,0.5988045334815979,,,,
AK-LSTM64-LR-Dense256-fs=36-cls=5,0.8274999856948853,5,"Model summary : 
",234,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.915000021,199,2.50181E-05,0.2827891409397125,0.5309658050537109,0.8962500095367432,0.870113194,0.7774999737739563,0.7222847938537598
AK-GRU512-LR-Dense256-gelu-fs=15-cls=5,0.824999988,5,"Model summary : 
",197,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,15,0.9474999904632568,199,2.50181E-05,0.23652231693267825,0.5845236778259277,0.9431250095367432,0.9292619824409484,0.800000012,0.749978244
AK-GRU64-LR-Dense256-gelu-fs=15-cls=5,0.8224999904632568,5,"Model summary : 
",205,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,15,0.8631250262260437,199,2.50181E-05,0.4009963870048523,0.49753355979919434,0.8518750071525574,0.8153733015060425,0.8125,0.7670251727104187
AK-BGRU64-LR-Dense256-gelu-fs=36-cls=5,0.8224999904632568,5,"Model summary : 
",356,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.9975000023841858,199,2.50181E-05,0.076269135,0.7131985425949097,,,,
AK-GRU256-LR-Dense256-gelu-fs=60-cls=5,0.8224999904632568,5,"Model summary : 
",338,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,60,0.953125,199,2.50181E-05,0.200157031,0.555497408,0.9506250023841858,0.9387822151184082,0.7850000262260437,0.7270621657371521
AK-BGRU32-LR-Dense256-gelu-fs=36-cls=5,0.8224999904632568,5,"Model summary : 
",346,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.9918749928474426,199,2.50181E-05,0.10253188759088516,0.642303467,0.9831249713897704,0.9787979125976562,0.7950000166893005,0.7446388006210327
AK-GRU128-LR-Dense256-gelu-fs=36-cls=5,0.8224999904632568,5,"Model summary : 
",247,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.9112499952316284,199,2.50181E-05,0.2943095862865448,0.4981348514556885,0.9112499952316284,0.8893862366676331,0.7825000286102295,0.7281046509742737
AK-LSTM128-LR-Dense256-fs=15-cls=5,0.8199999928474426,5,"Model summary : 
",188,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,15,0.9049999713897704,199,2.50181E-05,0.3095467984676361,0.5996948480606079,0.8974999785423279,0.8734973073005676,0.8025000095367432,0.7515091896057129
AK-LSTM64-LR-Dense256-fs=15-cls=5,0.8199999928474426,5,"Model summary : 
",200,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,15,0.8824999928474426,199,2.50181E-05,0.3542006313800812,0.5591021180152893,0.8693749904632568,0.836747408,0.7724999785423279,0.7217178344726562
AK-LSTM256-LR-Dense128-gelu-fs=15-cls=3,0.8199999928474426,5,"Model summary : 
None",203,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.9981250166893004,199,2.50181E-05,0.069071628,0.7763625979423523,,,,
AK-LSTM64-LR-Dense256-fs=36-cls=5,0.8199999928474426,5,"Model summary : 
None",273,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.9024999737739564,199,2.50181E-05,0.3126603066921234,0.5641047358512878,,,,
AK-LSTM256-LR-Dense128-gelu-fs=15-cls=3,0.8174999952316284,5,"Model summary : 
",232,101,200,all,0.0001,0.00005,cosineAnnealer,1600,400,36,0.9975000023841858,199,2.50181E-05,0.067872554,0.8202179074287415,0.996874988,0.9962218999862672,0.7774999737739563,0.7226658463478088
