Name,CNN Architecture,Data Augmentation?,epoch/val_categorical_accuracy (Max),Notes,Runtime,CACHEING,ROTATE_LIMIT,SCALE_LIMIT,SHIFT_LIMIT,T_max,decay,epochs,max_lr,min_lr,scheduler,train_size,unique_classes,val_size,video_length,epoch/categorical_accuracy,epoch/epoch,epoch/learning_rate,epoch/loss (Min),epoch/val_loss (Min)
C1_MobileNetV3Small,MobileNetV3Small,No,0.22499999403953552,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f84e0262190>",137,transforms_for_video,,,,51,0.595993483,100,0.0001,0.00001,cosineAnnealer,60,7,40,6,0.6333333253860474,99,1.03411E-05,1.1031439304351809,2.3488001823425293
C1_MobileNetV3Small,MobileNetV3Small,No,0.21212121844291687,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f85f2107890>",642,transforms_for_video,,,,51,0.7070259218306234,100,0.0001,0.00001,cosineAnnealer,67,7,33,49,0.8507462739944458,99,1.03411E-05,0.2048557549715042,3.913620948791504
C1_MobileNetV3Small,MobileNetV3Small,No,0.20930232107639313,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f89e82204d0>",314,transforms_for_video,,,,51,0.9410394025147616,100,0.0001,0.00001,cosineAnnealer,57,7,43,21,0.21052631735801697,99,1.03411E-05,1.8605753183364868,2.420196056365967
C1_MobileNetV3Small,MobileNetV3Small,No,0.20588235557079315,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f871bb46910>",138,transforms_for_video,,,,51,0.759565443,100,0.0001,0.00001,cosineAnnealer,66,7,34,6,0.3181818127632141,99,1.03411E-05,1.5855573415756226,2.927706480026245
C2_MobileNetV3Small,MobileNetV3Small,Yes,0.20000000298023224,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fe5868a0090>",128,calcMHI-augmentMHI,10,0.1,0.1,50,0.09,100,0.0001,0.00005,cosineAnnealer,80,7,20,20,0.875,99,1E-04,0.21508267521858215,2.0834200382232666
C1_MobileNetV3Small,MobileNetV3Small,No,0.20000000298023224,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f8931e07890>",360,transforms_for_video,,,,51,0.9759776528351826,100,0.0001,0.00001,cosineAnnealer,95,7,5,26,0.8315789699554443,99,1.03411E-05,0.38166099786758423,2.027049779891968
C2_MobileNetV3Small_augmentation_no_transforms,MobileNetV3Small,Yes,0.1927480846643448,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f72e1e67d10>",955,calcMHI-augmentMHI_no_transforms,10,0.05,0.1,51,0.09,100,0.0001,0.00005,cosineAnnealer,2898,7,2096,10,0.9354727268218994,60,9.54049E-05,0.2116588056087494,2.144845962524414
C1_MobileNetV3Small,MobileNetV3Small,No,0.18518517911434176,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f854ec7fcd0>",258,transforms_for_video,,,,51,0.8011806505073407,100,0.0001,0.00001,cosineAnnealer,73,7,27,17,0.34246575832366943,99,1.03411E-05,1.2546926736831665,2.322843313217163
C1_MobileNetV3Small,MobileNetV3Small,No,0.1818181872367859,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f86637e6ad0>",592,transforms_for_video,,,,51,0.7339812335331685,100,0.0001,0.00001,cosineAnnealer,67,7,33,45,0.9104477763175964,99,1.03411E-05,0.12150786072015762,3.3554840087890625
C1_MobileNetV3Small,MobileNetV3Small,No,0.1818181872367859,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f87b8274a50>",138,transforms_for_video,,,,51,0.6456725501043417,100,0.0001,0.00001,cosineAnnealer,67,7,33,6,0.35820895433425903,99,1.03411E-05,1.3882479667663574,2.541013240814209
C2_MobileNetV3Small_augmentation_no_transforms,MobileNetV3Small,Yes,0.17589576542377472,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f722d8e2110>",1689,calcMHI-augmentMHI_no_transforms,10,0.05,0.1,51,0.09,100,0.0001,0.00005,cosineAnnealer,3693,7,921,15,0.9805036783218384,99,5.01895E-05,0.038143642246723175,2.118206262588501
C2_MobileNetV3Small_augmentation_no_transforms,MobileNetV3Small,Yes,0.1735241562128067,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f0b54dede50>",473,calcMHI-augmentMHI_no_transforms,10,0.05,0.1,251,0.09,500,0.0001,0.00005,cosineAnnealer,4489,7,1118,20,0.3154377341270447,4,9.99511E-05,2.0152151584625244,2.0597264766693115
C2_MobileNetV3Small_augmentation_no_transforms,MobileNetV3Small,Yes,0.1715526580810547,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f73244920d0>",302,calcMHI-augmentMHI_no_transforms,10,0.05,0.1,251,0.09,500,0.0001,0.00005,cosineAnnealer,3693,7,921,15,0.4037368,12,9.96698E-05,1.555937886238098,2.0869407653808594
C2_MobileNetV3Small_augmentation_no_transforms,MobileNetV3Small,Yes,0.17100977897644043,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f52d8377e50>",294,calcMHI-augmentMHI_no_transforms,10,0.05,0.1,251,0.09,500,0.0001,0.00005,cosineAnnealer,2462,7,614,15,1,16,9.94362E-05,0.000688248,2.5508170127868652
MHI-test_decay=0.05,MobileNetV3Small,Yes,0.1599999964237213,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f3ebd6f2d90>",22575,,10,0.1,0.1,151,0.05,300,0.0001,0.00005,cosineAnnealer,400,41,100,50,0.9925000071525574,299,5.00216E-05,0.011918919160962105,5.474351406097412
MHI-test_decay=0.01,MobileNetV3Small,Yes,0.12999999523162842,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f3af0313fd0>",22576,,10,0.1,0.1,151,0.01,300,0.0001,0.00005,cosineAnnealer,400,41,100,50,0.9950000047683716,299,5.00216E-05,0.012459583580493929,5.708757400512695
MHI-test,MobileNetV3Small,Yes,0.07,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f3eee340fd0>",22433,,10,0.1,0.1,151,0.09,300,0.0001,0.00005,cosineAnnealer,400,41,100,50,0.9950000047683716,299,5.00216E-05,0.025347447022795677,5.4478254318237305
C1_MobileNetV3Small,MobileNetV3Small,Yes,0.059999999,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f944b9e6590>",3966,no_transforms_video_large,10,0.05,0.1,251,0.09,500,0.000075,0.00001,cosineAnnealer,350,41,150,15,0.822857141,81,5.93336E-05,0.5130494236946106,5.424956798553467
