"Name","epoch/val_categorical_accuracy (Max)","Notes","Runtime","CACHEING","DELTA","ROTATE_LIMIT","SCALE_LIMIT","SHIFT_LIMIT","TAU","T_max","decay","epochs","max_lr","min_lr","scheduler","train_size","unique_classes","val_size","video_length","epoch/categorical_accuracy","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/val_loss"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.699999988079071","Model summary : 
None","269","","41","15","0.1","0.1","191","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7437499761581421","29","0.00002519240115361754","0.4556662440299988","1.767829656600952"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","384","","3","15","0.1","0.1","19","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.78125","29","0.00002519240115361754","0.46163409948349","1.6158103942871094"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","272","","0","15","0.1","0.1","4","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.84375","29","0.00002519240115361754","0.37417322397232056","2.6955788135528564"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.699999988079071","Model summary : 
None","274","","2","15","0.1","0.1","53","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.893750011920929","29","0.00002519240115361754","0.2983972132205963","0.7124118804931641"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.699999988079071","Model summary : 
None","332","","0","15","0.1","0.1","42","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.912500023841858","29","0.00002519240115361754","0.2445536106824875","2.907100200653076"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","267","","87","15","0.1","0.1","182","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.699999988079071","29","0.00002519240115361754","0.5893044471740723","2.69474196434021"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.699999988079071","Model summary : 
None","513","","24","15","0.1","0.1","85","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.8125","29","0.00002519240115361754","0.40499693155288696","2.2747721672058105"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.699999988079071","Model summary : 
None","270","","162","15","0.1","0.1","174","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.6499999761581421","29","0.00002519240115361754","0.6294523477554321","2.197404146194458"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","276","","156","15","0.1","0.1","158","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7437499761581421","29","0.00002519240115361754","0.5537988543510437","2.572183609008789"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","215","","140","10","0.05","0.1","175","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","35","0.8187500238418579","29","0.00002519240115361754","0.3815297782421112","1.395211100578308"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","489","","47","15","0.1","0.1","73","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.6875","29","0.00002519240115361754","0.6030848622322083","4.114076614379883"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","389","","87","15","0.1","0.1","186","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7562500238418579","29","0.00002519240115361754","0.5662401914596558","1.4965770244598389"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.699999988079071","Model summary : 
None","323","","2","15","0.1","0.1","13","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.824999988079071","29","0.00002519240115361754","0.3864937722682953","1.1568009853363037"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","326","","44","15","0.1","0.1","209","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.6937500238418579","29","0.00002519240115361754","0.5000010132789612","1.76397442817688"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.699999988079071","Model summary : 
None","216","","105","15","0.1","0.1","149","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.65625","29","0.00002519240115361754","0.6217890977859497","1.7952944040298462"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.699999988079071","Model summary : 
None","276","","107","15","0.1","0.1","169","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7124999761581421","29","0.00002519240115361754","0.5821186900138855","1.1456986665725708"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.699999988079071","Model summary : 
None","389","","33","15","0.1","0.1","140","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.731249988079071","29","0.00002519240115361754","0.4818771481513977","2.9102351665496826"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","330","","8","15","0.1","0.1","38","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.762499988079071","29","0.00002519240115361754","0.4632282853126526","1.1788084506988523"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","220","","18","15","0.1","0.1","54","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.731249988079071","29","0.00002519240115361754","0.544719398021698","2.9139838218688965"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","324","","55","15","0.1","0.1","94","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.675000011920929","29","0.00002519240115361754","0.5890913605690002","2.1527671813964844"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","276","","13","15","0.1","0.1","60","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.78125","29","0.00002519240115361754","0.4525843560695648","1.3814030885696411"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","276","","145","15","0.1","0.1","206","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7250000238418579","29","0.00002519240115361754","0.5268725752830505","2.151963710784912"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.675000011920929","Model summary : 
None","380","","0","15","0.1","0.1","8","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.893750011920929","29","0.00002519240115361754","0.2869831919670105","3.8977084159851074"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.675000011920929","Model summary : 
None","440","","8","15","0.1","0.1","42","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.762499988079071","29","0.00002519240115361754","0.4691053330898285","2.662782669067383"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","388","","9","15","0.1","0.1","66","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.831250011920929","29","0.00002519240115361754","0.3904476761817932","3.5565967559814453"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","277","","7","15","0.1","0.1","37","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.768750011920929","29","0.00002519240115361754","0.4804491102695465","9.110980987548828"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","329","","94","15","0.1","0.1","120","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.6937500238418579","29","0.00002519240115361754","0.5894579291343689","1.3606560230255127"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.675000011920929","Model summary : 
None","221","","64","15","0.1","0.1","216","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7124999761581421","29","0.00002519240115361754","0.5226068496704102","2.819481372833252"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","327","","60","15","0.1","0.1","165","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7562500238418579","29","0.00002519240115361754","0.5301080942153931","2.337217092514038"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","329","","30","15","0.1","0.1","116","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.731249988079071","29","0.00002519240115361754","0.5380069613456726","0.9519492983818054"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.675000011920929","Model summary : 
None","272","","76","15","0.1","0.1","128","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.699999988079071","29","0.00002519240115361754","0.6199955344200134","2.875584363937378"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","369","","11","15","0.1","0.1","81","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.8374999761581421","29","0.00002519240115361754","0.4176104068756103","2.0419485569000244"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","372","","67","15","0.1","0.1","231","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.762499988079071","29","0.00002519240115361754","0.5298275947570801","1.6374174356460571"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","276","","207","15","0.1","0.1","242","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7124999761581421","29","0.00002519240115361754","0.5752184391021729","2.304901599884033"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.675000011920929","Model summary : 
None","387","","11","15","0.1","0.1","74","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.793749988079071","29","0.00002519240115361754","0.44401273131370544","0.885882556438446"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","381","","4","15","0.1","0.1","23","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.800000011920929","29","0.00002519240115361754","0.44686728715896606","5.614995002746582"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.675000011920929","Model summary : 
None","331","","8","15","0.1","0.1","58","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.824999988079071","29","0.00002519240115361754","0.4119811952114105","1.1123950481414795"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","318","","37","15","0.1","0.1","129","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.699999988079071","29","0.00002519240115361754","0.544579267501831","2.0506832599639893"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","329","","102","15","0.1","0.1","206","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.737500011920929","29","0.00002519240115361754","0.5542277097702026","2.1841721534729004"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.675000011920929","Model summary : 
None","219","","50","15","0.1","0.1","252","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.824999988079071","29","0.00002519240115361754","0.4336508214473725","1.373137354850769"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","266","","76","15","0.1","0.1","255","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.71875","29","0.00002519240115361754","0.5456235408782959","0.7880626916885376"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.675000011920929","Model summary : 
None","441","","104","15","0.1","0.1","105","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.6812499761581421","29","0.00002519240115361754","0.5543465614318848","1.9668735265731812"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","270","","3","15","0.1","0.1","21","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.78125","29","0.00002519240115361754","0.44199198484420776","2.7817587852478027"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","322","","17","15","0.1","0.1","109","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7749999761581421","29","0.00002519240115361754","0.42338791489601135","3.2676215171813965"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","272","","0","15","0.1","0.1","79","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.8687499761581421","29","0.00002519240115361754","0.35982584953308105","5.082380771636963"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","439","","193","15","0.1","0.1","229","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.6937500238418579","29","0.00002519240115361754","0.5945062637329102","1.5753079652786257"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","325","","124","15","0.1","0.1","168","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.675000011920929","29","0.00002519240115361754","0.6167724132537842","1.4937412738800049"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.675000011920929","Model summary : 
None","426","","16","15","0.1","0.1","20","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.675000011920929","29","0.00002519240115361754","0.540352463722229","19.716304779052734"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","325","","76","15","0.1","0.1","139","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7437499761581421","29","0.00002519240115361754","0.5354088544845581","1.4884101152420044"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","221","","14","15","0.1","0.1","49","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.75","29","0.00002519240115361754","0.48257023096084595","3.4451167583465576"
"EfficientNetB0_BSL_augmentation_BO","0.675000011920929","Model summary : 
None","268","","47","15","0.1","0.1","107","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7124999761581421","29","0.00002519240115361754","0.5914626717567444","2.4844412803649902"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","324","","109","10","0.05","0.1","111","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","35","0.831250011920929","29","0.00002519240115361754","0.3264933228492737","1.9434016942977903"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","385","","5","15","0.1","0.1","26","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.762499988079071","29","0.00002519240115361754","0.47610053420066833","1.8974287509918213"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.6499999761581421","Model summary : 
None","274","","19","15","0.1","0.1","79","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.762499988079071","29","0.00002519240115361754","0.4894856810569763","2.051112413406372"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","327","","66","15","0.1","0.1","139","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7562500238418579","29","0.00002519240115361754","0.5123275518417358","2.1094956398010254"
"EfficientNetB0_BSL_augmentation_BO","0.6499999761581421","Model summary : 
None","270","","122","15","0.1","0.1","240","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.699999988079071","29","0.00002519240115361754","0.5850948095321655","3.2522664070129395"
